rowid,annee,DEPARTEMENT,ecart_region,indicateur,valeur
1,2016,GERS,-3.22,part_logements_sociaux_en_pourcentage,9.37
2,2018,GERS,-3.64,part_logements_sociaux_en_pourcentage,9.59
3,2017,GERS,-3.32,part_logements_sociaux_en_pourcentage,9.58
4,2016,LOT ET GARONNE,-3.73,part_logements_sociaux_en_pourcentage,9.01
5,2018,LOT ET GARONNE,-4.08,part_logements_sociaux_en_pourcentage,9.24
6,2017,LOT ET GARONNE,-3.92,part_logements_sociaux_en_pourcentage,9.03
7,2016,ISERE,0.5,part_logements_sociaux_en_pourcentage,17.37
8,2017,ISERE,0.31,part_logements_sociaux_en_pourcentage,17.59
9,2018,ISERE,0.15,part_logements_sociaux_en_pourcentage,17.84
10,2016,LOIRE,2.36,part_logements_sociaux_en_pourcentage,19.23
11,2018,LOIRE,1.66,part_logements_sociaux_en_pourcentage,19.35
12,2017,LOIRE,2.07,part_logements_sociaux_en_pourcentage,19.35
13,2016,ALPES MARITIMES,-3.6,part_logements_sociaux_en_pourcentage,10.15
14,2018,ALPES MARITIMES,-3.76,part_logements_sociaux_en_pourcentage,10.65
15,2017,ALPES MARITIMES,-3.75,part_logements_sociaux_en_pourcentage,10.26
16,2016,MAYENNE,-1.02,part_logements_sociaux_en_pourcentage,12.71
17,2018,MAYENNE,-1.88,part_logements_sociaux_en_pourcentage,12.81
18,2017,MAYENNE,-1.5,part_logements_sociaux_en_pourcentage,12.82
19,2016,CHARENTE,0.54,part_logements_sociaux_en_pourcentage,13.28
20,2018,CHARENTE,-0.01,part_logements_sociaux_en_pourcentage,13.31
21,2017,CHARENTE,0.37,part_logements_sociaux_en_pourcentage,13.32
22,2016,HAUTE GARONNE,2.66,part_logements_sociaux_en_pourcentage,15.25
23,2018,HAUTE GARONNE,3.3,part_logements_sociaux_en_pourcentage,16.53
24,2017,HAUTE GARONNE,2.96,part_logements_sociaux_en_pourcentage,15.86
25,2016,ARDECHE,-6.33,part_logements_sociaux_en_pourcentage,10.54
26,2017,ARDECHE,-6.64,part_logements_sociaux_en_pourcentage,10.64
27,2018,ARDECHE,-7.1,part_logements_sociaux_en_pourcentage,10.59
28,2016,AISNE,-1.9,part_logements_sociaux_en_pourcentage,24.2
29,2018,AISNE,-1.84,part_logements_sociaux_en_pourcentage,24.81
30,2017,AISNE,-1.8,part_logements_sociaux_en_pourcentage,24.52
31,2016,LOIR ET CHER,-2.54,part_logements_sociaux_en_pourcentage,16.11
32,2018,LOIR ET CHER,-2.58,part_logements_sociaux_en_pourcentage,16.32
33,2017,LOIR ET CHER,-2.64,part_logements_sociaux_en_pourcentage,16.2
34,2016,GIRONDE,2.28,part_logements_sociaux_en_pourcentage,15.02
35,2018,GIRONDE,2.88,part_logements_sociaux_en_pourcentage,16.2
36,2017,GIRONDE,2.51,part_logements_sociaux_en_pourcentage,15.46
37,2016,VIENNE,1.25,part_logements_sociaux_en_pourcentage,13.99
38,2017,VIENNE,1.04,part_logements_sociaux_en_pourcentage,13.99
39,2018,VIENNE,1.02,part_logements_sociaux_en_pourcentage,14.34
40,2016,TARN ET GARONNE,-3.78,part_logements_sociaux_en_pourcentage,8.81
41,2018,TARN ET GARONNE,-4.21,part_logements_sociaux_en_pourcentage,9.02
42,2017,TARN ET GARONNE,-4.01,part_logements_sociaux_en_pourcentage,8.89
43,2016,MAINE ET LOIRE,3.53,part_logements_sociaux_en_pourcentage,17.26
44,2018,MAINE ET LOIRE,4.96,part_logements_sociaux_en_pourcentage,19.65
45,2017,MAINE ET LOIRE,4.61,part_logements_sociaux_en_pourcentage,18.93
46,2016,AVEYRON,-4.76,part_logements_sociaux_en_pourcentage,7.83
47,2018,AVEYRON,-5.35,part_logements_sociaux_en_pourcentage,7.88
48,2017,AVEYRON,-5.1,part_logements_sociaux_en_pourcentage,7.8
49,2016,CREUSE,-0.24,part_logements_sociaux_en_pourcentage,12.5
