code_INSEE;nb_menages_fiscaux_com;nb_personnes_dans_menage_com;Médiane_niv_vie_com;tx_pauvrete_total_com;tx_pauvrete-locataires_com
01001;313;796;22679;;
01002;101;248;24382;;
01004;6363;14228;19721;17;28
01005;633;1663;23378;;
01006;;;;;
01007;1087;2684;22146;;
01008;297;736;24894;;
01009;141;331;23088;;
01010;441;1062;22881;;
01011;143;365;23246;;
01012;149;329;21178;;
01013;65;143;18244;;
01014;1314;3447;20158;12;24
01015;289;668;22357;;
01016;176;469;20406;;
01017;198;431;18831;;
01019;;;;;
01021;496;1290;23153;;
01022;562;1196;19845;;
01023;;;;;
01024;1263;3254;21977;;
01025;1544;4151;21971;6;
01026;398;885;20722;;
01027;647;1812;23697;;
01028;225;600;22509;;
01029;256;614;19568;;
01030;363;885;21003;;
01031;1559;3555;18916;19;31
01032;1167;3261;20826;8;
01033;6472;15255;21405;16;27
01034;4003;8758;18818;19;29
01035;143;319;22078;;
01036;579;1311;21142;;
01037;116;272;20663;;
01038;308;770;21909;;
01039;199;477;20663;;
01040;181;487;20760;;
01041;326;795;22408;;
01042;113;295;24139;;
01043;1774;4673;26233;5;
01044;224;555;25120;;
01045;99;298;24398;;
01046;331;874;21491;;
01047;373;1034;25809;;
01049;1177;3153;24686;;
01050;126;339;19862;;
01051;;;;;
01052;130;314;25697;;
01053;18601;38015;18249;22;32
01054;510;1401;25382;;
01056;144;348;20805;;
01057;199;502;20778;;
01058;337;827;20812;;
01060;224;497;23066;;
01061;435;1196;22616;;
01062;338;917;25953;;
01063;211;495;24311;;
01064;412;1010;21123;;
01065;720;1832;24043;;
01066;;;;;
01067;101;250;22146;;
01068;300;695;19880;;
01069;606;1501;22985;;
01071;1681;4238;39101;8;
01072;1277;3040;22806;;
01073;444;1033;22682;;
01074;976;2338;21290;11;
01075;495;1370;23195;;
01076;76;146;20439;;
01077;91;190;21320;;
01078;504;1237;42085;;
01079;311;709;20290;;
01080;282;665;21599;;
01081;299;690;22962;;
01082;219;540;23821;;
01083;343;930;22744;;
01084;314;848;20934;;
01085;145;393;21769;;
01087;116;285;24141;;
01088;353;942;25693;;
01089;822;2222;21886;;
01090;144;348;22320;;
01092;627;1634;23277;;
01093;2153;4628;20849;10;16
01094;312;752;20651;;
01095;331;786;20242;;
01096;381;1012;21556;;
01098;444;1115;20510;;
01099;632;1558;24182;;
01100;72;142;20033;;
01101;67;162;25300;;
01102;361;939;21651;;
01103;590;1462;39236;;
01104;187;437;24775;;
01105;624;1717;25783;;
01106;70;160;21393;;
01107;61;127;21660;;
01108;516;1104;20576;;
01109;737;1915;31876;;
01110;70;155;20113;;
01111;51;123;19724;;
01112;162;432;21874;;
01113;336;826;19951;;
01114;213;541;27678;;
01115;543;1340;20859;;
01116;211;501;21717;;
01117;56;154;18355;;
01118;438;1048;24204;;
01121;41;106;19896;;
01123;432;1158;23006;;
01124;293;660;20592;;
01125;258;621;21892;;
01127;214;484;23060;;
01128;123;297;19992;;
01129;111;277;21660;;
01130;858;2288;21828;;
